type_index,type_parent_index,type,buildings,usage_area,living_area,apartments
0,-1,residential_buildings,221,9.1,45.5,532
1,0,dormitories,0,0.0,0.0,0
2,0,public_builders,1,0.0,0.1,1
3,0,companies,37,3.5,24.7,314
4,3,housing_companies,30,3.2,19.8,225
5,3,real_estate_funds,0,0.0,0.0,0
6,3,agriculture_forestry_animal_husbandry_fishing,0,0.0,0.0,0
7,3,manufacturing_industry,0,0.0,0.0,0
8,0,trade_banking_services_insurance_transport_and_communications,7,0.3,4.9,89
9,0,private_households,179,5.3,19.2,199
10,0,non_profit_organizations,4,0.3,1.5,18
11,0,before 1919,11,1.0,6.0,72
12,0,between 1919 and 1948,84,2.3,8.3,96
13,0,between 1949 and 1978,95,4.6,15.5,185
14,0,between 1979 and 1986,23,0.9,14.0,170
15,0,between 1987 and 1990,5,0.2,1.2,6
16,0,between 1991 and 1995,1,0.1,0.2,1
17,0,between 1996 and 2010,1,0.1,0.2,1
18,0,2011 and later,1,0.0,0.1,1
