type_index,type_parent_index,type,buildings,volume,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,2050,9058,7744.1,14433,10165.0,39333,2774253
1,0,residential_buildings,1868,5065,1631.5,14134,10048.9,38870,1775631
2,1,residential_buildings_with_1_apartment,1094,734,251.8,1094,1518.5,5808,268039
3,1,residential_buildings_with_2_apartments,79,78,32.3,158,158.6,639,26803
4,1,residential_buildings_with_3_or_more_apartments,683,4083,1305.7,12010,8033.4,30523,1412090
5,1,dormitories,12,170,41.8,872,338.5,1900,68699
6,1,residential_buildings_with_condominium,243,1619,560.2,4265,3123.8,10724,547802
7,1,public_builders,161,901,219.4,3347,1821.0,7922,332403
8,1,companies,900,3259,1032.8,9245,6550.2,24734,1122650
9,8,housing_companies,682,2516,821.1,7109,5033.4,18420,871213
10,8,real_estate_funds,26,89,19.5,197,159.0,589,32983
11,8,agriculture_forestry_animal_husbandry_fishing,0,0,0.0,0,0.0,0,0
12,8,manufacturing_industry,73,263,99.8,796,556.6,2631,87504
13,8,trade_banking_services_insurance_transport_and_communications,119,391,92.5,1143,801.2,3094,130950
14,1,private_households,804,891,376.0,1527,1647.1,6156,314594
15,1,non_profit_organizations,3,14,3.3,15,30.7,58,5984
16,0,non_residential_buildings,182,3993,6112.6,299,116.1,463,998622
17,16,institution_buildings,3,69,86.2,147,29.8,147,23919
18,16,office_and_administration_buildings,45,1069,1885.1,105,51.9,201,450930
19,16,algricultural_buildings,0,0,0.0,0,0.0,0,0
20,16,non_algricultural_buildings,80,2481,3497.3,35,24.7,84,358906
21,20,factory_and_workshop_buildings,25,484,523.1,4,5.3,21,60114
22,20,commercial_buildings,10,207,303.0,30,18.3,58,45034
23,20,warehouse_buildings,16,1130,1453.8,1,1.1,5,73331
24,20,hotels_and_restaurants,13,327,661.7,0,0.0,0,134305
25,16,other_non_residential_buildings,54,375,644.0,12,9.8,31,164867
26,16,selected_infrastructure_buildings,61,461,753.9,160,40.2,181,202393
27,16,public_builders,35,400,612.8,148,30.5,150,121630
28,16,companies,118,3377,5118.3,151,85.6,313,778701
29,28,housing_companies,20,314,461.7,8,5.3,19,67481
30,28,real_estate_funds,8,354,742.2,81,37.8,157,138393
31,28,agriculture_forestry_animal_husbandry_fishing,0,0,0.0,0,0.0,0,0
32,28,manufacturing_industry,15,508,771.2,1,2.1,10,57488
33,28,trade_banking_services_insurance_transport_and_communications,75,2201,3143.1,61,40.5,127,515339
34,16,private_households,6,8,19.3,0,0.0,0,2643
35,16,non_profit_organisations,23,208,362.2,0,0.0,0,95648
