type_index,type_parent_index,type,backlog_total,backlog_new_buildings,backlog_new_buildings_under_roof,backlog_new_buildings_not_yet_under_roof,backlog_new_buildings_not_yet_started,expired_building_permits
0,-1,non_residential_buildings,1258,850,241,273,336,36
1,0,institution_buildings,26,15,4,5,6,4
2,0,office_and_administration_buildings,394,261,74,71,116,9
3,0,agricultural_buildings,4,4,1,3,0,0
4,3,non_agricultural_buildings,472,320,111,95,114,20
5,3,factory_and_workshop_buildings,116,82,29,23,30,4
6,3,commercial_buildings,90,41,17,10,14,3
7,3,warehouse_buildings,65,49,15,15,19,3
8,3,hotels_and_restaurants,119,72,20,21,31,5
9,0,other_non_residential_buildings,362,250,51,99,100,3
10,0,public_builders,238,173,43,81,49,5
11,0,companies,801,554,175,151,228,25
12,11,housing_companies,189,149,50,41,58,3
13,11,real_estate_funds,97,66,21,20,25,1
14,11,agriculture_forestry_animal_husbandry_fishing,3,3,1,2,0,0
15,11,manufacturing_industry,93,59,23,18,18,6
16,11,trade_banking_services_insurance_transport_and_communications,419,277,80,70,127,15
17,0,private_households,90,47,15,16,16,4
18,0,non_profit_organizations,129,76,8,25,43,2
19,0,II. Halbjahr 2022,166,118,2,21,95,0
20,0,I.  Halbjahr 2022,165,104,5,35,64,0
21,0,2021 half-year 2,183,140,24,60,56,0
22,0,2021 half-year 1,155,103,21,43,39,1
23,0,Jahr 2020,225,148,50,53,45,9
24,0,2019 und früher,364,237,139,61,37,26
25,0,Mitte,160,112,44,39,29,3
26,0,Friedrichshain-Kreuzberg,83,49,20,15,14,2
27,0,Pankow,120,84,18,39,27,2
28,0,Charlottenburg-Wilmersdorf,139,84,24,20,40,2
29,0,Spandau,92,66,17,16,33,3
30,0,Steglitz-Zehlendorf,86,51,8,16,27,0
31,0,Tempelhof-Schöneberg,92,62,25,12,25,3
32,0,Neukölln,67,47,11,20,16,1
33,0,Treptow-Köpenick,130,98,18,41,39,5
34,0,Marzahn-Hellersdorf,106,77,17,20,40,7
35,0,Lichtenberg,109,74,26,23,25,5
36,0,Reinickendorf,74,46,13,12,21,3
