year,buildings,residential_buildings,non_residential_buildings,building_measures_on_existing_buildings,usage_area,living_area,apartments,apartment_rooms,estimated_costs
2013,3266,2010,253,1003,4779.9,7133.2,6641,26518,1665273
2014,3356,2131,199,1026,5937.1,9065,8744,32672,2042804
2015,3370,2011,208,1151,5225.8,10212.3,10722,36674,2326817
2016,3570,2217,229,1124,5987.7,11506.1,13659,41938,2848802
2017,3228,1943,203,1082,6339.9,11621.1,15669,42694,2734661
2018,3418,2101,225,1092,8236.3,12530.2,16706,46817,3176397
2019,3388,2144,214,1030,7057.2,13715.4,18999,51683,3415727
2020,2556,1589,155,812,5867,11524.3,16337,42983,3173918
2021,2983,1868,182,933,7649,11491.6,15870,43504,3333035
2022,2595,1570,187,838,7300.8,11678.7,17310,45145,3724486
