type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,2595,7300.8,17310,11678.7,45145,3724486
Wohngebäude zusammen,2314,1117,17278,11655.4,45059,2277753
Wohnheime,18,43.7,988,351.7,1632,74130
Wohngebäude mit Eigentumswohnungen,365,81.2,4536,3121.6,11405,634018
Öffentliche Bauherren,202,401.3,5412,3135.4,12910,575971
Unternehmen,849,568.7,10230,6620.8,25293,1290912
Wohnungsunternehmen,680,612.9,7776,5303.7,20497,1023124
Immobilienfonds,32,"– 97,1",370,260.9,862,51861
"Land- und Forstw., Tierh., Fischerei",2,1.4,1,4.8,9,347
Produzierendes Gewerbe,9,8.2,75,45.5,218,9680
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",126,43.3,2008,1005.9,3707,205900
Private Haushalte,1249,134.2,1540,1826.3,6624,395659
Organisationen ohne Erwerbszweck,14,12.8,96,73,232,15211
Nichtwohngebäude,281,6183.8,32,23.3,86,1446733
Anstaltsgebäude,6,37.2,1,3.4,14,14542
Büro- und Verwaltungsgebäude,75,3209.8,29,17.8,56,779602
Landwirtschaftliche Betriebsgebäude,3,10,–,–,–,132
Nichtlandwirtschaftliche Betriebsgebäude,94,1785.6,29,15.7,50,185694
Fabrik- und Werkstattgebäude,21,189,3,1.2,9,46327
Handelsgebäude,20,328.7,26,15.3,42,44715
Warenlagergebäude,22,316.8,–,–,–,19662
Hotels und Gaststätten,12,139.6,–,"– 0,8",– 1,38882
Sonstige Nichtwohngebäude,103,1141.3,– 27,"– 13,6",– 34,466763
Ausgewählte Infrastrukturgebäude,115,1221,– 26,"– 10,3",– 20,497842
Öffentliche Bauherren,66,1060.7,– 1,"– 0,9",– 5,417128
Unternehmen,151,4718.4,– 16,"– 4,9",– 1,884261
Wohnungsunternehmen,29,695.8,– 9,"– 7,4",– 1,146430
Immobilienfonds,12,267.7,11,8.6,27,89222
"Land- und Forstw., Tierh., Fischerei",4,16.7,–,–,–,282
Produzierendes Gewerbe,17,181.6,–,–,–,24944
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",89,3556.7,– 18,"– 6,0",– 27,623383
Private Haushalte,21,54.3,28,20.7,69,14395
Organisationen o. Erwerbszweck,43,350.4,21,8.4,23,130949
