type,backlog_total,backlog_new_buildings,backlog_new_buildings_under_roof,backlog_new_buildings_not_yet_under_roof,backlog_new_buildings_not_yet_started,expired_building_permits
Nichtwohngebäude,1178,773,249,226,298,24
Anstaltsgebäude,34,17,4,5,8,–
Büro- und Verwaltungsgebäude,359,215,69,61,85,5
landwirtschaftliche Betriebsgebäude,4,4,2,–,2,–
nichtlandwirtschaftliche Betriebsgebäude,472,337,120,73,144,18
Fabrik- und Werkstattgebäude,122,90,32,17,41,3
Handelsgebäude,91,48,13,13,22,4
Warenlagergebäude,63,48,20,6,22,4
Hotels und Gaststätten,106,70,22,15,33,3
sonstige Nichtwohngebäude,309,200,54,87,59,1
Öffentliche Bauherren,207,145,43,60,42,–
Unternehmen,758,517,181,129,207,19
Wohnungsunternehmen,154,121,39,43,39,4
Immobilienfonds,69,40,14,9,17,3
"Land- und Forstw., Tierh., Fischerei",7,6,4,1,1,–
Produzierendes Gewerbe,93,60,24,13,23,2
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",435,290,100,63,127,10
Private Haushalte,92,40,5,11,24,4
Organisationen ohne Erwerbszweck,121,71,20,26,25,1
II. Halbjahr 2020,172,115,1,13,101,–
I.  Halbjahr 2020,191,128,12,41,75,2
II. Halbjahr 2019,148,107,22,48,37,–
I.  Halbjahr 2019,158,114,43,54,17,2
Jahr 2018,209,132,60,37,35,3
2017 und früher,300,177,111,33,33,17
Mitte,155,102,38,33,31,4
Friedrichshain-Kreuzberg,88,58,22,18,18,2
Pankow,108,72,19,27,26,3
Charlottenburg-Wilmersdorf,124,68,25,15,28,2
Spandau,87,65,17,23,25,2
Steglitz-Zehlendorf,78,44,9,15,20,2
Tempelhof-Schöneberg,86,56,26,12,18,1
