type,residential_buildings,residential_buildings_apartments,residential_buildings_usage_area,non_residential_buildings,non_residential_buildings_apartments,non_residential_buildings_usage_area
insgesamt,123,330,37.2,130,53,247.2
Schaffung öffentlicher Verkehrsflächen,–,–,–,–,–,–
Schaffung von Freiflächen,1,16,1,4,–,19.2
Errichtung eines neuen Wohngebäudes,109,224,29.3,51,2,89.5
Errichtung eines neuen Nichtwohngebäudes,7,32,1.9,31,2,78.7
Bauordnungsrechtliche Unzulässigkeit des Gebäudes,–,–,–,–,–,–
Außergewöhnliches Ereignis (Brand etc.),–,–,–,–,–,–
Nutzungsänderung,3,17,1.5,39,29,44.1
Nutzungsänderung ganzer Gebäude im  Zuge von Baumaßnahmen,3,17,1.5,39,29,44.1
Sonstige Gründe,3,41,3.4,5,20,15.7
Mitte,4,44,2.6,5,16,3.8
Friedrichshain-Kreuzberg,–,–,–,6,2,21.2
Pankow,19,38,4.1,24,24,22.9
