type,backlog_total,backlog_new_buildings,backlog_new_buildings_under_roof,backlog_new_buildings_not_yet_under_roof,backlog_new_buildings_not_yet_started,expired_building_permits
Wohngebäude,8916,5227,1710,1384,2133,287
Wohngebäude mit 1 Wohnung,x,2533,790,616,1127,175
Wohngebäude mit 2 Wohnungen,x,225,62,61,102,14
Wohngebäude mit 3 o. m. Wohnungen,x,2434,852,697,885,97
Wohnheime,58,35,6,10,19,1
Wohngebäude mit Eigentumswohnungen,1854,895,295,308,292,42
Öffentliche Bauherren,498,398,192,127,79,2
Unternehmen,4626,3001,891,790,1320,232
Wohnungsunternehmen,3397,2240,663,645,932,192
Immobilienfonds,394,194,47,27,120,6
"Land- und Forstw., Tierh., Fischerei",1,1,1,–,–,–
Produzierendes Gewerbe,87,81,38,11,32,1
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",747,485,142,107,236,33
Private Haushalte,3724,1806,621,463,722,49
Organisationen ohne Erwerbszweck,68,22,6,4,12,4
II. Halbjahr 2020,1328,811,20,75,716,–
I.  Halbjahr 2020,1433,979,196,376,407,4
II. Halbjahr 2019,1254,771,254,257,260,8
I.  Halbjahr 2019,1031,620,237,190,193,8
Jahr 2018,1591,882,367,275,240,43
2017 und früher,2279,1164,636,211,317,224
Mitte,638,257,70,95,92,18
Friedrichshain-Kreuzberg,435,110,20,59,31,8
Pankow,1246,676,239,176,261,47
Charlottenburg-Wilmersdorf,588,209,75,60,74,4
Spandau,714,519,161,139,219,20
Steglitz-Zehlendorf,780,290,67,129,94,10
Tempelhof-Schöneberg,623,312,112,106,94,5
Neukölln,453,222,67,46,109,4
