type,buildings,volume,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,1744,8147,6317,14719,10252.8,38558,2850391
Wohngebäude zusammen,1589,5074,1737.2,14704,10239.2,38509,1744036
Wohngebäude mit 1 Wohnung,935,655,246.1,935,1303.6,4998,229851
Wohngebäude mit 2 Wohnungen,55,55,23.6,110,109.5,459,19358
Wohngebäude mit 3 o. m. Wohnungen,588,4223,1421.2,12812,8572.7,31797,1444302
Wohnheime,11,141,46.3,847,253.4,1255,50525
Wohngebäude mit Eigentumswohnungen,172,1271,328.5,3298,2613.7,8859,436824
Öffentliche Bauherren,65,580,182.5,2087,1193.9,4856,206771
Unternehmen,687,3711,1251.8,11255,7519.8,27785,1258581
Wohnungsunternehmen,409,2396,803.2,6850,4814.2,17542,817413
Immobilienfonds,39,308,83.5,1164,666.7,2554,109659
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–,–
Produzierendes Gewerbe,21,145,5.1,524,301.3,1126,46602
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",218,861,360.1,2717,1737.7,6563,284907
Private Haushalte,825,715,271.8,1189,1403.2,5390,253374
Organisationen ohne Erwerbszweck,12,68,31.1,173,122.2,478,25310
Nichtwohngebäude,155,3074,4579.8,15,13.6,49,1106355
Anstaltsgebäude,7,173,215.9,–,–,–,96402
Büro- und Verwaltungsgebäude,36,1497,2187.9,2,1.9,6,704871
Landwirtschaftliche Betriebsgebäude,1,1,3,–,–,–,58
Nichtlandwirtschaftliche Betriebsgebäude,65,1188,1804,1,0.5,3,206806
Fabrik- und Werkstattgebäude,15,101,140.5,–,–,–,22716
Handelsgebäude,19,358,548,–,–,–,83769
Warenlagergebäude,14,176,293.8,–,–,–,18550
Hotels und Gaststätten,7,103,269.4,–,–,–,40918
Sonstige Nichtwohngebäude,46,215,369,12,11.2,40,98218
Ausgewählte Infrastrukturgebäude,55,394,593.2,12,11.2,40,204791
Öffentliche Bauherren,31,257,375.5,–,–,–,133676
Unternehmen,98,2066,3534.7,14,11.4,34,547499
Wohnungsunternehmen,12,112,295.6,1,0.6,2,29925
Immobilienfonds,7,236,528,–,–,–,96903
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–,–
Produzierendes Gewerbe,15,461,455.1,–,–,–,48730
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",64,1257,2256,13,10.7,32,371941
Private Haushalte,6,18,21.8,–,–,–,1572
Organisationen o. Erwerbszweck,20,733,647.8,1,2.3,15,423608
