type,buildings,usage_area,living_area,apartments
Nichtwohngebäude,130,243,4.2,53
Anstaltsgebäude,7,16.8,–,–
Büro- und Verwaltungsgebäude,22,72,1.3,24
landwirtschaftliche Betriebsgebäude,2,2.6,–,–
nichtlandwirtschaftliche Betriebsgebäude,76,110.2,2,22
Fabrik- und Werkstattgebäude,29,56.7,0.8,3
Handelsgebäude,12,8.6,0.1,1
Warenlagergebäude,16,10.8,–,–
Hotels und Gaststätten,8,13.3,1.1,18
sonstige Nichtwohngebäude,23,41.4,0.9,7
Öffentliche Bauherren,19,64.4,–,–
Unternehmen,85,162,2.6,37
Wohnungsunternehmen,49,106.1,1,18
Immobilienfonds,6,10.5,0.2,2
"Land- und Forstw., Tierh., Fischerei",–,–,–,–
Produzierendes Gewerbe,6,1.4,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",24,44,1.4,17
Private Haushalte,18,11.5,0.1,1
Organisationen o. Erwerbszweck,8,5.1,1.5,15
vor  1919,11,39.8,1.4,17
von 1919 bis 1948,19,20.7,0.1,1
von 1949 bis 1978,62,106,0.6,5
von 1979 bis 1986,18,41.7,1,10
von 1987 bis 1990,12,15.8,1.1,20
von 1991 bis 1995,2,1.1,–,–
von 1996 bis 2010,6,17.9,–,–
2011 und später,–,–,–,–
