type_index,type_parent_index,type,buildings,volume,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,1744,8147,6317.0,14719,10252.8,38558,2850391
1,0,residential_buildings,1589,5074,1737.2,14704,10239.2,38509,1744036
2,1,residential_buildings_with_1_apartment,935,655,246.1,935,1303.6,4998,229851
3,1,residential_buildings_with_2_apartments,55,55,23.6,110,109.5,459,19358
4,1,residential_buildings_with_3_or_more_apartments,588,4223,1421.2,12812,8572.7,31797,1444302
5,1,dormitories,11,141,46.3,847,253.4,1255,50525
6,1,residential_buildings_with_condominium,172,1271,328.5,3298,2613.7,8859,436824
7,1,public_builders,65,580,182.5,2087,1193.9,4856,206771
8,1,companies,687,3711,1251.8,11255,7519.8,27785,1258581
9,8,housing_companies,409,2396,803.2,6850,4814.2,17542,817413
10,8,real_estate_funds,39,308,83.5,1164,666.7,2554,109659
11,8,agriculture_forestry_animal_husbandry_fishing,0,0,0.0,0,0.0,0,0
12,8,manufacturing_industry,21,145,5.1,524,301.3,1126,46602
13,8,trade_banking_services_insurance_transport_and_communications,218,861,360.1,2717,1737.7,6563,284907
14,1,private_households,825,715,271.8,1189,1403.2,5390,253374
15,1,non_profit_organizations,12,68,31.1,173,122.2,478,25310
16,0,non_residential_buildings,155,3074,4579.8,15,13.6,49,1106355
17,16,institution_buildings,7,173,215.9,0,0.0,0,96402
18,16,office_and_administration_buildings,36,1497,2187.9,2,1.9,6,704871
19,16,algricultural_buildings,1,1,3.0,0,0.0,0,58
20,16,non_algricultural_buildings,65,1188,1804.0,1,0.5,3,206806
21,20,factory_and_workshop_buildings,15,101,140.5,0,0.0,0,22716
22,20,commercial_buildings,19,358,548.0,0,0.0,0,83769
23,20,warehouse_buildings,14,176,293.8,0,0.0,0,18550
24,20,hotels_and_restaurants,7,103,269.4,0,0.0,0,40918
25,16,other_non_residential_buildings,46,215,369.0,12,11.2,40,98218
26,16,selected_infrastructure_buildings,55,394,593.2,12,11.2,40,204791
27,16,public_builders,31,257,375.5,0,0.0,0,133676
28,16,companies,98,2066,3534.7,14,11.4,34,547499
29,28,housing_companies,12,112,295.6,1,0.6,2,29925
30,28,real_estate_funds,7,236,528.0,0,0.0,0,96903
31,28,agriculture_forestry_animal_husbandry_fishing,0,0,0.0,0,0.0,0,0
32,28,manufacturing_industry,15,461,455.1,0,0.0,0,48730
33,28,trade_banking_services_insurance_transport_and_communications,64,1257,2256.0,13,10.7,32,371941
34,16,private_households,6,18,21.8,0,0.0,0,1572
35,16,non_profit_organisations,20,733,647.8,1,2.3,15,423608
