type_index,type_parent_index,type,buildings,usage_area,living_area,apartments
0,-1,non_residential_buildings,130,243.0,4.2,53
1,0,institution_buildings,7,16.8,0.0,0
2,0,office_and_administration_buildings,22,72.0,1.3,24
3,0,agricultural_buildings,2,2.6,0.0,0
4,0,non_agricultural_buildings,76,110.2,2.0,22
5,4,factory_and_workshop_buildings,29,56.7,0.8,3
6,4,commercial_buildings,12,8.6,0.1,1
7,4,warehouse_buildings,16,10.8,0.0,0
8,4,hotels_and_restaurants,8,13.3,1.1,18
9,0,other_non_residential_buildings,23,41.4,0.9,7
10,0,public_builders,19,64.4,0.0,0
11,0,companies,85,162.0,2.6,37
12,11,housing_companies,49,106.1,1.0,18
13,11,real_estate_funds,6,10.5,0.2,2
14,11,agriculture_forestry_animal_husbandry_fishing,0,0.0,0.0,0
15,11,manufacturing_industry,6,1.4,0.0,0
16,11,trade_banking_services_insurance_transport_and_communications,24,44.0,1.4,17
17,0,private_households,18,11.5,0.1,1
18,0,non_profit_organisations,8,5.1,1.5,15
19,0,before 1919,11,39.8,1.4,17
20,0,between 1919 and 1948,19,20.7,0.1,1
21,0,between 1949 and 1978,62,106.0,0.6,5
22,0,between 1979 and 1986,18,41.7,1.0,10
23,0,between 1987 and 1990,12,15.8,1.1,20
24,0,between 1991 and 1995,2,1.1,0.0,0
25,0,between 1996 and 2010,6,17.9,0.0,0
26,0,2011 and later,0,0.0,0.0,0
