type_index,type_parent_index,type,buildings,usage_area,living_area,apartments
0,-1,residential_buildings,128,11.0,26.6,338
1,0,dormitories,3,5.3,5.4,71
2,0,public_builders,2,5.3,5.4,70
3,0,companies,24,2.5,10.7,146
4,3,housing_companies,14,1.1,4.4,50
5,3,real_estate_funds,0,0.0,0.0,0
6,3,agriculture_forestry_animal_husbandry_fishing,0,0.0,0.0,0
7,3,manufacturing_industry,4,0.2,2.4,44
8,0,trade_banking_services_insurance_transport_and_communications,6,1.2,3.9,52
9,0,private_households,101,3.2,10.3,121
10,0,non_profit_organizations,1,0.1,0.2,1
11,0,before 1919,12,0.5,3.7,61
12,0,between 1919 and 1948,48,1.7,5.7,64
13,0,between 1949 and 1978,59,6.8,11.6,130
14,0,between 1979 and 1986,6,1.6,4.6,66
15,0,between 1987 and 1990,2,0.3,1.0,16
16,0,between 1991 and 1995,1,0.1,0.1,1
17,0,between 1996 and 2010,0,0.0,0.0,0
18,0,2011 and later,0,0.0,0.0,0
