type,buildings,usage_area,living_area,apartments
Wohngebäude,181,8.6,26,322
Wohnheime,–,–,–,–
Öffentliche Bauherren,4,–,0.5,4
Unternehmen,43,2.9,10.1,138
Wohnungsunternehmen,28,2.1,7.9,120
Immobilienfonds,–,–,–,–
"Land- und Forstw., Tierh., Fischerei",–,–,–,–
Produzierendes Gewerbe,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",15,0.8,2.2,18
Private Haushalte,129,5.4,14.7,173
Organisationen ohne Erwerbszweck,5,0.2,0.8,7
vor  1919,13,1.9,4.2,61
von 1919 bis 1948,68,1.8,6.5,74
von 1949 bis 1978,70,3.6,10.2,123
von 1979 bis 1986,19,1,3.9,52
von 1987 bis 1990,4,0,0.4,4
von 1991 bis 1995,4,0.2,0.5,5
von 1996 bis 2010,3,0,0.2,3
2011 und später,–,–,–,–
