type,buildings,usage_area,living_area,apartments
Wohngebäude,175,7.8,24.4,307
Wohngebäude mit 1 Wohnung,151,5.3,15.3,151
Wohngebäude mit 2 Wohnungen,14,0.7,2.8,28
Wohngebäude mit 3 o. m. Wohnungen,10,1.9,6.3,128
Wohnheime,–,–,–,–
Öffentliche Bauherren,4,–,0.5,4
Unternehmen,42,2.2,8.8,128
Wohnungsunternehmen,27,1.4,6.6,110
Immobilienfonds,–,–,–,–
"Land- und Forstw., Tierh., Fischerei",–,–,–,–
Produzierendes Gewerbe,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",15,0.8,2.2,18
Private Haushalte,124,5.4,14.3,168
Organisationen ohne Erwerbszweck,5,0.2,0.8,7
vor  1919,13,1.9,4.2,61
von 1919 bis 1948,66,1.8,6.4,72
von 1949 bis 1978,67,2.9,8.8,111
von 1979 bis 1986,18,1,3.9,51
von 1987 bis 1990,4,0,0.4,4
von 1991 bis 1995,4,0.2,0.5,5
von 1996 bis 2010,3,0,0.2,3
2011 und später,–,–,–,–
