type,buildings,usage_area,living_area,apartments
Nichtwohngebäude,108,266.7,2.2,37
Anstaltsgebäude,3,12.4,–,–
Büro- und Verwaltungsgebäude,14,19.6,1.1,12
landwirtschaftliche Betriebsgebäude,7,1.5,0,1
nichtlandwirtschaftliche Betriebsgebäude,69,198.4,0.7,16
Fabrik- und Werkstattgebäude,32,105.7,0.1,1
Handelsgebäude,7,7.9,–,–
Warenlagergebäude,12,49.9,–,–
Hotels und Gaststätten,7,18.3,0.6,15
sonstige Nichtwohngebäude,15,34.8,0.4,8
Öffentliche Bauherren,17,46.1,0.8,9
Unternehmen,71,211.9,1.2,23
Wohnungsunternehmen,33,110.8,0.3,3
Immobilienfonds,7,34.9,–,–
"Land- und Forstw., Tierh., Fischerei",–,–,–,–
Produzierendes Gewerbe,8,14.2,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",23,51.9,0.9,20
Private Haushalte,16,5.1,0.1,2
Organisationen o. Erwerbszweck,4,3.7,0.1,3
vor  1919,7,4.1,0.1,1
von 1919 bis 1948,11,9.7,0.1,1
von 1949 bis 1978,55,175.8,0.9,20
von 1979 bis 1986,15,22.3,0.1,1
von 1987 bis 1990,10,20.9,0.8,9
von 1991 bis 1995,7,31.6,0.2,5
von 1996 bis 2010,2,2,–,–
2011 und später,1,0.3,–,–
