type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,2432,8498.7,15965,10291.9,39459,3979365
Wohngebäude zusammen,2149,1191.3,15796,10172,39133,2290364
Wohnheime,27,32.2,1346,377.2,1556,99394
Wohngebäude mit Eigentumswohnungen,282,186.5,3630,2587.5,9447,585565
Öffentliche Bauherren,181,511,5174,2838.6,11532,646064
Unternehmen,650,409.5,8765,5424.7,20552,1173534
Wohnungsunternehmen,498,340.9,6802,4230.6,16254,894017
Immobilienfonds,66,"– 3,2",850,560.9,1948,140621
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,5,5.4,67,39,141,7372
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",81,66.4,1046,594.3,2209,131524
Private Haushalte,1299,237.3,1657,1805.9,6656,436842
Organisationen ohne Erwerbszweck,19,33.5,200,102.7,393,33924
Nichtwohngebäude,283,7307.4,169,119.9,326,1689001
Anstaltsgebäude,6,78.5,13,6.8,38,25966
Büro- und Verwaltungsgebäude,62,4082.1,2,10.6,17,917264
Landwirtschaftliche Betriebsgebäude,5,19.5,–,–,–,1280
Nichtlandwirtschaftliche Betriebsgebäude,118,2015.5,56,76.8,193,387154
Fabrik- und Werkstattgebäude,24,369.2,4,4.9,16,95903
Handelsgebäude,27,338.6,9,7.4,25,53181
Warenlagergebäude,24,330,2,1.4,7,35671
Hotels und Gaststätten,18,395.3,41,63.2,145,124338
Sonstige Nichtwohngebäude,92,1111.9,98,25.7,78,357337
Ausgewählte Infrastrukturgebäude,102,1244.3,111,32.5,116,401139
Öffentliche Bauherren,65,1275.9,97,27.5,94,401236
Unternehmen,170,5739.4,73,95.7,246,1177387
Wohnungsunternehmen,37,1074.9,51,76.4,173,184444
Immobilienfonds,19,1036.3,–,–,–,226199
"Land- und Forstw., Tierh., Fischerei",2,2.3,–,–,–,310
Produzierendes Gewerbe,22,501.1,3,4.1,10,81555
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",90,3124.8,19,15.2,63,684879
Private Haushalte,17,27.4,2,1.2,6,5918
Organisationen o. Erwerbszweck,31,264.8,– 3,"– 4,4",– 20,104460
