type_index,type_parent_index,type,buildings,usage_area,living_area,apartments
0,-1,non_residential_buildings,110,202.2,2.9,42
1,0,institution_buildings,0,0.0,0.0,0
2,0,office_and_administration_buildings,32,59.9,0.8,10
3,0,agricultural_buildings,3,22.3,0.0,0
4,0,non_agricultural_buildings,64,102.6,2.1,32
5,4,factory_and_workshop_buildings,24,42.8,0.1,1
6,4,commercial_buildings,10,9.9,0.0,0
7,4,warehouse_buildings,7,9.4,0.0,0
8,4,hotels_and_restaurants,9,13.0,1.9,29
9,0,other_non_residential_buildings,11,17.4,0.0,0
10,0,public_builders,12,26.6,0.0,0
11,0,companies,79,166.3,2.3,34
12,11,housing_companies,36,72.1,0.1,1
13,11,real_estate_funds,13,35.3,2.1,32
14,11,agriculture_forestry_animal_husbandry_fishing,0,0.0,0.0,0
15,11,manufacturing_industry,4,5.8,0.0,0
16,11,trade_banking_services_insurance_transport_and_communications,26,53.1,0.1,1
17,0,private_households,18,7.3,0.6,8
18,0,non_profit_organisations,1,2.1,0.0,0
19,0,before 1919,4,27.5,0.0,0
20,0,between 1919 and 1948,7,4.0,0.0,0
21,0,between 1949 and 1978,39,82.7,0.2,3
22,0,between 1979 and 1986,26,48.2,0.3,4
23,0,between 1987 and 1990,9,4.7,0.0,0
24,0,between 1991 and 1995,10,19.1,1.9,29
25,0,between 1996 and 2010,15,16.1,0.6,6
26,0,2011 and later,0,0.0,0.0,0
