type_index,type_parent_index,type,buildings,volume,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,1757.0,8588.0,7724.6,15404,10242.2,40199,3150120.0
1,0,residential_buildings,1570.0,5237.0,1691.7,15368,10224.3,40132,1918774.0
2,1,residential_buildings_with_1_apartment,861.0,611.0,199.1,861,1211.1,4630,245048.0
3,1,residential_buildings_with_2_apartments,57.0,65.0,34.3,114,124.6,492,24535.0
4,1,residential_buildings_with_3_or_more_apartments,638.0,4389.0,1412.0,13408,8542.2,33393,1576642.0
5,1,dormitories,14.0,172.0,46.3,985,346.4,1617,72549.0
6,1,residential_buildings_with_condominium,230.0,1380.0,422.9,3548,2512.5,9295,491440.0
7,1,public_builders,184.0,1502.0,401.0,5316,3069.7,12622,552907.0
8,1,companies,614.0,3010.0,993.9,8832,5743.1,22150,1074927.0
9,8,housing_companies,517.0,2558.0,782.4,7236,4847.7,18791,919959.0
10,8,real_estate_funds,9.0,103.0,28.0,186,166.3,530,26017.0
11,8,agriculture_forestry_animal_husbandry_fishing,1.0,2.0,1.4,1,4.3,10,198.0
12,8,manufacturing_industry,8.0,25.0,8.2,74,45.0,214,9629.0
13,8,trade_banking_services_insurance_transport_and_communications,79.0,320.0,173.9,1335,679.8,2605,119124.0
14,1,private_households,766.0,689.0,283.8,1124,1340.9,5138,277523.0
15,1,non_profit_organizations,6.0,36.0,12.9,96,70.6,222,13417.0
16,0,non_residential_buildings,187.0,3351.0,6032.9,36,17.9,67,1231346.0
17,16,institution_buildings,2.0,23.0,28.6,0,0.0,0,8134.0
18,16,office_and_administration_buildings,46.0,1787.0,3159.4,11,8.2,31,717387.0
19,16,algricultural_buildings,3.0,4.0,10.0,0,0.0,0,132.0
20,16,non_algricultural_buildings,72.0,838.0,1775.3,24,8.5,30,158218.0
21,20,factory_and_workshop_buildings,16.0,145.0,178.4,3,1.2,9,38153.0
22,20,commercial_buildings,12.0,204.0,332.9,21,7.3,21,32920.0
23,20,warehouse_buildings,19.0,172.0,312.2,0,0.0,0,17898.0
24,20,hotels_and_restaurants,8.0,64.0,135.4,0,0.0,0,34802.0
25,16,other_non_residential_buildings,64.0,700.0,1059.6,1,1.2,6,347475.0
26,16,selected_infrastructure_buildings,72.0,745.0,1130.7,1,1.2,6,371218.0
27,16,public_builders,52.0,672.0,1003.5,0,0.0,0,320354.0
28,16,companies,101.0,2452.0,4638.5,7,5.7,25,788313.0
29,28,housing_companies,19.0,368.0,698.9,0,0.0,0,134578.0
30,28,real_estate_funds,5.0,141.0,265.9,0,0.0,0,66368.0
31,28,agriculture_forestry_animal_husbandry_fishing,4.0,9.0,16.7,0,0.0,0,282.0
32,28,manufacturing_industry,11.0,129.0,164.6,0,0.0,0,20606.0
33,28,trade_banking_services_insurance_transport_and_communications,62.0,1806.0,3492.4,7,5.7,25,566479.0
34,16,private_households,9.0,33.0,56.3,8,4.1,16,8179.0
35,16,non_profit_organisations,25.0,195.0,334.6,21,8.2,26,114500.0
