type_index,type_parent_index,type,buildings,usage_area,living_area,apartments
0,-1,residential_buildings,243,13.3,52.3,923
1,0,dormitories,2,0.2,6.5,105
2,0,public_builders,2,0.2,1.2,43
3,0,companies,32,4.5,26.9,623
4,3,housing_companies,22,3.8,17.9,524
5,3,real_estate_funds,1,0.0,0.5,6
6,3,agriculture_forestry_animal_husbandry_fishing,0,0.0,0.0,0
7,3,manufacturing_industry,0,0.0,0.0,0
8,0,trade_banking_services_insurance_transport_and_communications,9,0.7,8.5,93
9,0,private_households,205,7.6,22.1,220
10,0,non_profit_organizations,4,1.1,2.2,37
11,0,before 1919,10,0.5,2.4,25
12,0,between 1919 and 1948,93,3.1,10.4,103
13,0,between 1949 and 1978,113,8.4,33.3,705
14,0,between 1979 and 1986,17,1.1,4.5,79
15,0,between 1987 and 1990,3,0.0,0.3,3
16,0,between 1991 and 1995,2,0.1,0.5,2
17,0,between 1996 and 2010,4,0.1,0.7,5
18,0,2011 and later,1,0.1,0.3,1
